"participant__code","channel","body","timestamp"
"biwxsqhs","214-stage_1-271","hallo",1574774589.89404
"dirw21la","214-stage_1-271","hey",1574774590.74378
"biwxsqhs","214-stage_1-271","ok scheint zu funktionieren",1574774602.54099
"dirw21la","214-stage_1-271","hast du nen vorschlag?",1574774605.11963
"dirw21la","214-stage_1-271","wie viel wir angeben?",1574774611.51196
"biwxsqhs","214-stage_1-271","die fixe vergütung sind letzten endes 4 €",1574774623.82071
"biwxsqhs","214-stage_1-271","*ist",1574774627.58065
"dirw21la","214-stage_1-271","ja",1574774629.29558
"biwxsqhs","214-stage_1-271","wie hoch ist deine risikobereitschaft?",1574774640.41272
"dirw21la","214-stage_1-271","chance ist etwa 72 prozent, dass wir durchkommen",1574774647.4635
"dirw21la","214-stage_1-271","mit lügen",1574774650.41531
"biwxsqhs","214-stage_1-271","jup",1574774654.48465
"dirw21la","214-stage_1-271","würde auf risiko gehen",1574774662.11122
"dirw21la","214-stage_1-271","du?",1574774665.06304
"biwxsqhs","214-stage_1-271","letzten endes haben wir nichts zu verlieren",1574774670.11635
"dirw21la","214-stage_1-271","jup",1574774672.96682
"dirw21la","214-stage_1-271","also 50?",1574774677.83886
"biwxsqhs","214-stage_1-271","50 Überstunden alsoß ;D",1574774681.46784
"biwxsqhs","214-stage_1-271","*also",1574774687.22821
"dirw21la","214-stage_1-271","ja?",1574774688.40762
"q0k1uimp","214-stage_1-273","hallo",1574774689.25319
"jemdgnjp","214-stage_1-268","wollen wir die richtige Anzahl angeben",1574774690.38601
"4cuvzyul","214-stage_1-273","hi",1574774691.34425
"biwxsqhs","214-stage_1-271","ja",1574774692.37989
"q0k1uimp","214-stage_1-273","wir haben 15 überstunden",1574774699.05294
"biwxsqhs","214-stage_1-271","noch weitere fragen?",1574774701.24395
"5t4153nm","214-stage_1-268","willst du die wahrheit sagen?",1574774701.81527
"4cuvzyul","214-stage_1-273","leider sind es nicht so viele überstunden",1574774703.42145
"5t4153nm","214-stage_1-268","haha",1574774703.75885
"4cuvzyul","214-stage_1-273","ja",1574774705.65342
"dirw21la","214-stage_1-271","wait",1574774707.57456
"q0k1uimp","214-stage_1-273","ich würde mehr angeben ",1574774711.67673
"4cuvzyul","214-stage_1-273","erstmal: lügen oder nicht lügen?",1574774714.70982
"dirw21la","214-stage_1-271","von den 4 euro können wir aber verlieren",1574774716.95064
"4cuvzyul","214-stage_1-273","okay",1574774717.89374
"dirw21la","214-stage_1-271","oder nicht?",1574774720.73469
"4cuvzyul","214-stage_1-273","aber wie viel",1574774723.75773
"7xfwb0zu","214-stage_1-270","wie viele überstunden hast du",1574774731.56866
"q0k1uimp","214-stage_1-273","weil die wahrscheinlichkeit überprüft zu werden meines erachtens gering ist ",1574774732.32526
"biwxsqhs","214-stage_1-271","das bin ich mir nicht sicher",1574774734.56349
"dirw21la","214-stage_1-271","wir würden dann bei 50 cent landen",1574774737.06205
"k91ypf06","214-stage_1-270","So was wollen wir angeben?",1574774739.9915
"k91ypf06","214-stage_1-270","15",1574774743.84761
"dirw21la","214-stage_1-271","glaube schon",1574774744.88605
"jemdgnjp","214-stage_1-268","mir egal, da wir die genaue wahrscheinlichkeit ausgewählt zu werden nicht kennen, würde ich fast sagen ja ",1574774750.31457
"4cuvzyul","214-stage_1-273","all in, dass wir am ende vielleicht weniger als fix ist odernur bisschen  mehr?",1574774752.11722
"7xfwb0zu","214-stage_1-270","auf sicher?",1574774752.27916
"biwxsqhs","214-stage_1-271","aber bei 50 überstunden können wir maximal 40 verlieren",1574774754.05929
"dirw21la","214-stage_1-271","wenn wir für 30 gehen",1574774755.95018
"7xfwb0zu","214-stage_1-270","oder risiko?",1574774756.39245
"q0k1uimp","214-stage_1-273","die frage ist nach welchem kriterium überprüft wird",1574774757.1165
"4cuvzyul","214-stage_1-273","ich würde sagen wenn schon, dann richtig haha",1574774759.54914
"74xuezf4","214-stage_1-272","hallo",1574774759.97752
"h5s37olr","214-stage_1-272","hallo",1574774760.34094
"biwxsqhs","214-stage_1-271","nicht 40 sry",1574774761.11541
"biwxsqhs","214-stage_1-271","35",1574774762.52337
"h5s37olr","214-stage_1-272","wv hast du denn",1574774767.23713
"dirw21la","214-stage_1-271","haben wir in jedem fall 4 euro",1574774768.60482
"k91ypf06","214-stage_1-270","ja haha also so stehts aufm zettel",1574774769.17527
"74xuezf4","214-stage_1-272","15",1574774769.88113
"dirw21la","214-stage_1-271","oder mehr",1574774770.75714
"4cuvzyul","214-stage_1-273","ich dachte zufällig aber das stimmt...",1574774773.14109
"5t4153nm","214-stage_1-268","aber es werden ja nur 2 gruppen ausgewählt",1574774774.08652
"k91ypf06","214-stage_1-270","auf risiko",1574774776.67142
"74xuezf4","214-stage_1-272","du",1574774778.30511
"dirw21la","214-stage_1-271","oder doch volles risiko?",1574774778.44553
"h5s37olr","214-stage_1-272","same",1574774779.12506
"4cuvzyul","214-stage_1-273","vielleivht nach hähe",1574774779.82884
"74xuezf4","214-stage_1-272","ok",1574774781.83319
"biwxsqhs","214-stage_1-271","wir haben 15 ÜS, heißt uns wird nur die differenz abgezogen",1574774782.85843
"k91ypf06","214-stage_1-270","sonst lohnt es sich hicht",1574774787.34288
"7xfwb0zu","214-stage_1-270","ja also 40 + 15 =55 angeben?",1574774788.25583
"biwxsqhs","214-stage_1-271","also max 35",1574774789.80269
"74xuezf4","214-stage_1-272","wir sind 12 leute",1574774793.51294
"7xfwb0zu","214-stage_1-270","wie viel",1574774794.69591
"h5s37olr","214-stage_1-272","was denkst du wird das max sein was in den blättern angegebn werdern kann",1574774794.94127
