Group_ID_simuliert,Period,Subject_ID,declared_income_final,teilnehmer_weiblich,alter,equal,Chat_subject,Chat_group_all,Chat_group_label,Chat_sel
1,4,1,0,0,23,True,Hi auch Also der Erwartungswert ist bei 0 am höchsten Aber halt auch das Risiko Also 1000? Kann man sich darauf einigen ;) Alles oder nichts Okay dann 1000 Das stimmt aber im Horst Case gehst du da mit 12 € raus bei 1000 hast du 17 Safe,"Jo, was geht? Hi auch Hallo,  Hat, wer einen plan? Also der Erwartungswert ist bei 0 am höchsten Aber halt auch das Risiko Ich würde sagen 170 Baupunkte sind ganz gut ich würde auf Nummer sicher gehen  Ja, hab ich auch so berechnet ;) Lab* Also 1000? Kann man sich darauf einigen ;) 100 oder 0 1000* Irgendwas dazwischen ergibt keinen Sinn  Alles oder nichts Okay dann 1000 Eckstück Also wollt ihr 100 punkte versteuern? Der höchste durchschnitt ist bei 0 versteuertem Einkommen Nein wir wollen 1000 versteuern. Der Durchschnitt bringt uns ja fügt ^^ Das stimmt aber im Horst Case gehst du da mit 12 € raus bei 1000 hast du 17 Safe Ah ok  5 Euro haben oder nicht haben. Sind 10 Euro ;) Saalach... Risiko.... 0? Aber du hast 70 % Wahrscheinlichkeit für 22 € und 30 % für 12 € Bei 0 steuern Ist ja gut :-) Ichs ach ja schon 0 ",Also der Erwartungswert ist bei 0 am höchsten Aber halt auch das Risiko Ich würde sagen 170 Baupunkte sind ganz gut ich würde auf Nummer sicher gehen  Also 1000? 100 oder 0 Alles oder nichts Okay dann 1000 Also wollt ihr 100 punkte versteuern? Der höchste durchschnitt ist bei 0 versteuertem Einkommen Nein wir wollen 1000 versteuern. Der Durchschnitt bringt uns ja fügt ^^ Das stimmt aber im Horst Case gehst du da mit 12 € raus bei 1000 hast du 17 Safe Saalach... Risiko.... 0? Aber du hast 70 % Wahrscheinlichkeit für 22 € und 30 % für 12 € Ist ja gut :-) Ichs ach ja schon 0 ,"Jo, was geht? Hi auch Hallo,  Hat, wer einen plan? Also der Erwartungswert ist bei 0 am höchsten Aber halt auch das Risiko Ich würde sagen 170 Baupunkte sind ganz gut ich würde auf Nummer sicher gehen  Ja, hab ich auch so berechnet ;) Lab* Also 1000? Kann man sich darauf einigen ;) 100 oder 0 1000* Irgendwas dazwischen ergibt keinen Sinn  Alles oder nichts Okay dann 1000 Eckstück Also wollt ihr 100 punkte versteuern? Der höchste durchschnitt ist bei 0 versteuertem Einkommen Nein wir wollen 1000 versteuern. Der Durchschnitt bringt uns ja fügt ^^ Das stimmt aber im Horst Case gehst du da mit 12 € raus bei 1000 hast du 17 Safe Ah ok  5 Euro haben oder nicht haben. Sind 10 Euro ;) Saalach... Risiko.... 0? Aber du hast 70 % Wahrscheinlichkeit für 22 € und 30 % für 12 € Bei 0 steuern Ist ja gut :-) Ichs ach ja schon 0 "
1,4,2,0,1,23,True,"Hallo,  Ich würde sagen 170 Baupunkte sind ganz gut ich würde auf Nummer sicher gehen  Lab* 100 oder 0 1000* Irgendwas dazwischen ergibt keinen Sinn  Eckstück Nein wir wollen 1000 versteuern. Der Durchschnitt bringt uns ja fügt ^^ 5 Euro haben oder nicht haben. Sind 10 Euro ;) Saalach... Risiko.... 0? Ist ja gut :-) Ichs ach ja schon 0 ","Jo, was geht? Hi auch Hallo,  Hat, wer einen plan? Also der Erwartungswert ist bei 0 am höchsten Aber halt auch das Risiko Ich würde sagen 170 Baupunkte sind ganz gut ich würde auf Nummer sicher gehen  Ja, hab ich auch so berechnet ;) Lab* Also 1000? Kann man sich darauf einigen ;) 100 oder 0 1000* Irgendwas dazwischen ergibt keinen Sinn  Alles oder nichts Okay dann 1000 Eckstück Also wollt ihr 100 punkte versteuern? Der höchste durchschnitt ist bei 0 versteuertem Einkommen Nein wir wollen 1000 versteuern. Der Durchschnitt bringt uns ja fügt ^^ Das stimmt aber im Horst Case gehst du da mit 12 € raus bei 1000 hast du 17 Safe Ah ok  5 Euro haben oder nicht haben. Sind 10 Euro ;) Saalach... Risiko.... 0? Aber du hast 70 % Wahrscheinlichkeit für 22 € und 30 % für 12 € Bei 0 steuern Ist ja gut :-) Ichs ach ja schon 0 ",Also der Erwartungswert ist bei 0 am höchsten Aber halt auch das Risiko Ich würde sagen 170 Baupunkte sind ganz gut ich würde auf Nummer sicher gehen  Also 1000? 100 oder 0 Alles oder nichts Okay dann 1000 Also wollt ihr 100 punkte versteuern? Der höchste durchschnitt ist bei 0 versteuertem Einkommen Nein wir wollen 1000 versteuern. Der Durchschnitt bringt uns ja fügt ^^ Das stimmt aber im Horst Case gehst du da mit 12 € raus bei 1000 hast du 17 Safe Saalach... Risiko.... 0? Aber du hast 70 % Wahrscheinlichkeit für 22 € und 30 % für 12 € Ist ja gut :-) Ichs ach ja schon 0 ,"Jo, was geht? Hi auch Hallo,  Hat, wer einen plan? Also der Erwartungswert ist bei 0 am höchsten Aber halt auch das Risiko Ich würde sagen 170 Baupunkte sind ganz gut ich würde auf Nummer sicher gehen  Ja, hab ich auch so berechnet ;) Lab* Also 1000? Kann man sich darauf einigen ;) 100 oder 0 1000* Irgendwas dazwischen ergibt keinen Sinn  Alles oder nichts Okay dann 1000 Eckstück Also wollt ihr 100 punkte versteuern? Der höchste durchschnitt ist bei 0 versteuertem Einkommen Nein wir wollen 1000 versteuern. Der Durchschnitt bringt uns ja fügt ^^ Das stimmt aber im Horst Case gehst du da mit 12 € raus bei 1000 hast du 17 Safe Ah ok  5 Euro haben oder nicht haben. Sind 10 Euro ;) Saalach... Risiko.... 0? Aber du hast 70 % Wahrscheinlichkeit für 22 € und 30 % für 12 € Bei 0 steuern Ist ja gut :-) Ichs ach ja schon 0 "
1,4,3,0,0,24,True,"Jo, was geht? Hat, wer einen plan? Ja, hab ich auch so berechnet ;) Also wollt ihr 100 punkte versteuern? Der höchste durchschnitt ist bei 0 versteuertem Einkommen Ah ok  Aber du hast 70 % Wahrscheinlichkeit für 22 € und 30 % für 12 € Bei 0 steuern","Jo, was geht? Hi auch Hallo,  Hat, wer einen plan? Also der Erwartungswert ist bei 0 am höchsten Aber halt auch das Risiko Ich würde sagen 170 Baupunkte sind ganz gut ich würde auf Nummer sicher gehen  Ja, hab ich auch so berechnet ;) Lab* Also 1000? Kann man sich darauf einigen ;) 100 oder 0 1000* Irgendwas dazwischen ergibt keinen Sinn  Alles oder nichts Okay dann 1000 Eckstück Also wollt ihr 100 punkte versteuern? Der höchste durchschnitt ist bei 0 versteuertem Einkommen Nein wir wollen 1000 versteuern. Der Durchschnitt bringt uns ja fügt ^^ Das stimmt aber im Horst Case gehst du da mit 12 € raus bei 1000 hast du 17 Safe Ah ok  5 Euro haben oder nicht haben. Sind 10 Euro ;) Saalach... Risiko.... 0? Aber du hast 70 % Wahrscheinlichkeit für 22 € und 30 % für 12 € Bei 0 steuern Ist ja gut :-) Ichs ach ja schon 0 ",Also der Erwartungswert ist bei 0 am höchsten Aber halt auch das Risiko Ich würde sagen 170 Baupunkte sind ganz gut ich würde auf Nummer sicher gehen  Also 1000? 100 oder 0 Alles oder nichts Okay dann 1000 Also wollt ihr 100 punkte versteuern? Der höchste durchschnitt ist bei 0 versteuertem Einkommen Nein wir wollen 1000 versteuern. Der Durchschnitt bringt uns ja fügt ^^ Das stimmt aber im Horst Case gehst du da mit 12 € raus bei 1000 hast du 17 Safe Saalach... Risiko.... 0? Aber du hast 70 % Wahrscheinlichkeit für 22 € und 30 % für 12 € Ist ja gut :-) Ichs ach ja schon 0 ,"Jo, was geht? Hi auch Hallo,  Hat, wer einen plan? Also der Erwartungswert ist bei 0 am höchsten Aber halt auch das Risiko Ich würde sagen 170 Baupunkte sind ganz gut ich würde auf Nummer sicher gehen  Ja, hab ich auch so berechnet ;) Lab* Also 1000? Kann man sich darauf einigen ;) 100 oder 0 1000* Irgendwas dazwischen ergibt keinen Sinn  Alles oder nichts Okay dann 1000 Eckstück Also wollt ihr 100 punkte versteuern? Der höchste durchschnitt ist bei 0 versteuertem Einkommen Nein wir wollen 1000 versteuern. Der Durchschnitt bringt uns ja fügt ^^ Das stimmt aber im Horst Case gehst du da mit 12 € raus bei 1000 hast du 17 Safe Ah ok  5 Euro haben oder nicht haben. Sind 10 Euro ;) Saalach... Risiko.... 0? Aber du hast 70 % Wahrscheinlichkeit für 22 € und 30 % für 12 € Bei 0 steuern Ist ja gut :-) Ichs ach ja schon 0 "
2,4,4,0,1,20,True,"Okay 0 Ich hatte auch nur 1-mal eine Kontrolle Alles klar, tschau","Ich würde 0 erklären Hey, lass uns alle 0 angeben :D Top, wie sieht es bei dir aus 1? Okay 0 Die erwartete Auszahlung wird bei 0 maximal und ich bin ja nicht hier um dem Labor Geld zu schenken :D 70,30 Chance und bei 0 erhalten wir mit Kontrolle immer noch 12 Euro Finde ich okay. Okay super :D Hattet ihr in der ersten Periode auch keine Kontrollen? 2-mal Kontrolle...., mega Pech gehabt :( Ich hatte auch nur 1-mal eine Kontrolle Oh Nein, mega ärgerlich... Aber das ändert ja an der Wahrscheinlichkeit nichts, von daher weiter 0 erklären :D Jut! Agios Alles klar, tschau","Ich würde 0 erklären Hey, lass uns alle 0 angeben :D Okay 0 Die erwartete Auszahlung wird bei 0 maximal und ich bin ja nicht hier um dem Labor Geld zu schenken :D 70,30 Chance und bei 0 erhalten wir mit Kontrolle immer noch 12 Euro Aber das ändert ja an der Wahrscheinlichkeit nichts, von daher weiter 0 erklären :D","Ich würde 0 erklären Hey, lass uns alle 0 angeben :D Top, wie sieht es bei dir aus 1? Okay 0 Die erwartete Auszahlung wird bei 0 maximal und ich bin ja nicht hier um dem Labor Geld zu schenken :D 70,30 Chance und bei 0 erhalten wir mit Kontrolle immer noch 12 Euro Finde ich okay. Okay super :D Hattet ihr in der ersten Periode auch keine Kontrollen? 2-mal Kontrolle...., mega Pech gehabt :( Ich hatte auch nur 1-mal eine Kontrolle Oh Nein, mega ärgerlich... Aber das ändert ja an der Wahrscheinlichkeit nichts, von daher weiter 0 erklären :D Jut! Agios Alles klar, tschau"
2,4,5,0,1,23,True,"Ich würde 0 erklären Top, wie sieht es bei dir aus 1? 70,30 Chance und bei 0 erhalten wir mit Kontrolle immer noch 12 Euro Finde ich okay. Hattet ihr in der ersten Periode auch keine Kontrollen? Oh Nein, mega ärgerlich... Jut! Agios","Ich würde 0 erklären Hey, lass uns alle 0 angeben :D Top, wie sieht es bei dir aus 1? Okay 0 Die erwartete Auszahlung wird bei 0 maximal und ich bin ja nicht hier um dem Labor Geld zu schenken :D 70,30 Chance und bei 0 erhalten wir mit Kontrolle immer noch 12 Euro Finde ich okay. Okay super :D Hattet ihr in der ersten Periode auch keine Kontrollen? 2-mal Kontrolle...., mega Pech gehabt :( Ich hatte auch nur 1-mal eine Kontrolle Oh Nein, mega ärgerlich... Aber das ändert ja an der Wahrscheinlichkeit nichts, von daher weiter 0 erklären :D Jut! Agios Alles klar, tschau","Ich würde 0 erklären Hey, lass uns alle 0 angeben :D Okay 0 Die erwartete Auszahlung wird bei 0 maximal und ich bin ja nicht hier um dem Labor Geld zu schenken :D 70,30 Chance und bei 0 erhalten wir mit Kontrolle immer noch 12 Euro Aber das ändert ja an der Wahrscheinlichkeit nichts, von daher weiter 0 erklären :D","Ich würde 0 erklären Hey, lass uns alle 0 angeben :D Top, wie sieht es bei dir aus 1? Okay 0 Die erwartete Auszahlung wird bei 0 maximal und ich bin ja nicht hier um dem Labor Geld zu schenken :D 70,30 Chance und bei 0 erhalten wir mit Kontrolle immer noch 12 Euro Finde ich okay. Okay super :D Hattet ihr in der ersten Periode auch keine Kontrollen? 2-mal Kontrolle...., mega Pech gehabt :( Ich hatte auch nur 1-mal eine Kontrolle Oh Nein, mega ärgerlich... Aber das ändert ja an der Wahrscheinlichkeit nichts, von daher weiter 0 erklären :D Jut! Agios Alles klar, tschau"
2,4,6,0,0,24,True,"Hey, lass uns alle 0 angeben :D Die erwartete Auszahlung wird bei 0 maximal und ich bin ja nicht hier um dem Labor Geld zu schenken :D Okay super :D 2-mal Kontrolle...., mega Pech gehabt :( Aber das ändert ja an der Wahrscheinlichkeit nichts, von daher weiter 0 erklären :D","Ich würde 0 erklären Hey, lass uns alle 0 angeben :D Top, wie sieht es bei dir aus 1? Okay 0 Die erwartete Auszahlung wird bei 0 maximal und ich bin ja nicht hier um dem Labor Geld zu schenken :D 70,30 Chance und bei 0 erhalten wir mit Kontrolle immer noch 12 Euro Finde ich okay. Okay super :D Hattet ihr in der ersten Periode auch keine Kontrollen? 2-mal Kontrolle...., mega Pech gehabt :( Ich hatte auch nur 1-mal eine Kontrolle Oh Nein, mega ärgerlich... Aber das ändert ja an der Wahrscheinlichkeit nichts, von daher weiter 0 erklären :D Jut! Agios Alles klar, tschau","Ich würde 0 erklären Hey, lass uns alle 0 angeben :D Okay 0 Die erwartete Auszahlung wird bei 0 maximal und ich bin ja nicht hier um dem Labor Geld zu schenken :D 70,30 Chance und bei 0 erhalten wir mit Kontrolle immer noch 12 Euro Aber das ändert ja an der Wahrscheinlichkeit nichts, von daher weiter 0 erklären :D","Ich würde 0 erklären Hey, lass uns alle 0 angeben :D Top, wie sieht es bei dir aus 1? Okay 0 Die erwartete Auszahlung wird bei 0 maximal und ich bin ja nicht hier um dem Labor Geld zu schenken :D 70,30 Chance und bei 0 erhalten wir mit Kontrolle immer noch 12 Euro Finde ich okay. Okay super :D Hattet ihr in der ersten Periode auch keine Kontrollen? 2-mal Kontrolle...., mega Pech gehabt :( Ich hatte auch nur 1-mal eine Kontrolle Oh Nein, mega ärgerlich... Aber das ändert ja an der Wahrscheinlichkeit nichts, von daher weiter 0 erklären :D Jut! Agios Alles klar, tschau"
3,4,7,0,1,23,True,Hey Vorschläge? Könnte ja klappen :D Dann sind wir uns einig? :D Okay bis gleich dann ,"Hey  Hey Hey Irgendwelche Präferenzen wie viel ihr erklären wollt? Vorschläge? Erwartungswert ist bei 0 am größten und nimmt bis 1000 stetig ab Risiko ist natürlich auch am größten bei 0 und nimmt stetig ab  0 ist für mich trotzdem okay, oder irgendwas in der Mitte No riss nö Fun :D  Allrighty, also 0? Könnte ja klappen :D *Daumen hoch Emoji* Dann sind wir uns einig? :D Sieht so aus. Nach runde 1 können wir ja nochmal reevaluieren  Okay bis gleich dann ","Risiko ist natürlich auch am größten bei 0 und nimmt stetig ab  0 ist für mich trotzdem okay, oder irgendwas in der Mitte No riss nö Fun :D  Allrighty, also 0?","Hey  Hey Hey Irgendwelche Präferenzen wie viel ihr erklären wollt? Vorschläge? Erwartungswert ist bei 0 am größten und nimmt bis 1000 stetig ab Risiko ist natürlich auch am größten bei 0 und nimmt stetig ab  0 ist für mich trotzdem okay, oder irgendwas in der Mitte No riss nö Fun :D  Allrighty, also 0? Könnte ja klappen :D *Daumen hoch Emoji* Dann sind wir uns einig? :D Sieht so aus. Nach runde 1 können wir ja nochmal reevaluieren  Okay bis gleich dann "
3,4,8,0,1,26,True,"Hey Irgendwelche Präferenzen wie viel ihr erklären wollt? 0 ist für mich trotzdem okay, oder irgendwas in der Mitte Allrighty, also 0? Sieht so aus. Nach runde 1 können wir ja nochmal reevaluieren ","Hey  Hey Hey Irgendwelche Präferenzen wie viel ihr erklären wollt? Vorschläge? Erwartungswert ist bei 0 am größten und nimmt bis 1000 stetig ab Risiko ist natürlich auch am größten bei 0 und nimmt stetig ab  0 ist für mich trotzdem okay, oder irgendwas in der Mitte No riss nö Fun :D  Allrighty, also 0? Könnte ja klappen :D *Daumen hoch Emoji* Dann sind wir uns einig? :D Sieht so aus. Nach runde 1 können wir ja nochmal reevaluieren  Okay bis gleich dann ","Risiko ist natürlich auch am größten bei 0 und nimmt stetig ab  0 ist für mich trotzdem okay, oder irgendwas in der Mitte No riss nö Fun :D  Allrighty, also 0?","Hey  Hey Hey Irgendwelche Präferenzen wie viel ihr erklären wollt? Vorschläge? Erwartungswert ist bei 0 am größten und nimmt bis 1000 stetig ab Risiko ist natürlich auch am größten bei 0 und nimmt stetig ab  0 ist für mich trotzdem okay, oder irgendwas in der Mitte No riss nö Fun :D  Allrighty, also 0? Könnte ja klappen :D *Daumen hoch Emoji* Dann sind wir uns einig? :D Sieht so aus. Nach runde 1 können wir ja nochmal reevaluieren  Okay bis gleich dann "
7,4,9,0,1,24,True,"Wie oft wurdet ihr in der ersten Runde kontrolliert? Ich auch 1-mal Dann scheint da kein allgemeines Muster dabei zu sein Ich hätte 500 gesagt, wieso 0?  Wenn man schon zockt, dann richtig, nein?^^ Ja das stimmt, aber da wäre die strafen nicht so hoch aber von mir aus können wir auch 0 versuchen So hoch habe ich noch nicht gepokert aber im Spiel, von mir aus. Wenn alle einverstanden sind","hey hallo Wie oft wurdet ihr in der ersten Runde kontrolliert? 1-mal  2 Ich auch 1-mal Bin dafür 0 anzugeben Dann scheint da kein allgemeines Muster dabei zu sein Ich hätte 500 gesagt, wieso 0?  Ich dachte so an 500 (wurde eben bei 1000 kontrolliert) Bei 0 mein eich 0 ist der maximale gewinn und ob man kontrolliert wird ist bei 30 % Wahrscheinlichkeit Das heißt, gibt man 0 an erhält man die höchste Auszahlung Wenn man schon zockt, dann richtig, nein?^^ Genau gesehen ist 500 auch zocken Ja das stimmt, aber da wäre die strafen nicht so hoch aber von mir aus können wir auch 0 versuchen Haha nr.. 3 :D von mir aus auch 1000, aber bei 500 bekommt man nur 2 Euro weniger am Ende So hoch habe ich noch nicht gepokert aber im Spiel, von mir aus. Okay, dann 0 Sollen wir den Chat verlassen? jo Wenn alle einverstanden sind Bis dann Gutes Gelingen noch doch","Bin dafür 0 anzugeben Ich hätte 500 gesagt, wieso 0?  Ich dachte so an 500 (wurde eben bei 1000 kontrolliert) 0 ist der maximale gewinn und ob man kontrolliert wird ist bei 30 % Wahrscheinlichkeit Das heißt, gibt man 0 an erhält man die höchste Auszahlung Wenn man schon zockt, dann richtig, nein?^^ Genau gesehen ist 500 auch zocken Ja das stimmt, aber da wäre die strafen nicht so hoch aber von mir aus können wir auch 0 versuchen Haha nr.. 3 :D von mir aus auch 1000, aber bei 500 bekommt man nur 2 Euro weniger am Ende So hoch habe ich noch nicht gepokert aber im Spiel, von mir aus. Okay, dann 0","hey hallo Wie oft wurdet ihr in der ersten Runde kontrolliert? 1-mal  2 Ich auch 1-mal Bin dafür 0 anzugeben Dann scheint da kein allgemeines Muster dabei zu sein Ich hätte 500 gesagt, wieso 0?  Ich dachte so an 500 (wurde eben bei 1000 kontrolliert) Bei 0 mein eich 0 ist der maximale gewinn und ob man kontrolliert wird ist bei 30 % Wahrscheinlichkeit Das heißt, gibt man 0 an erhält man die höchste Auszahlung Wenn man schon zockt, dann richtig, nein?^^ Genau gesehen ist 500 auch zocken Ja das stimmt, aber da wäre die strafen nicht so hoch aber von mir aus können wir auch 0 versuchen Haha nr.. 3 :D von mir aus auch 1000, aber bei 500 bekommt man nur 2 Euro weniger am Ende So hoch habe ich noch nicht gepokert aber im Spiel, von mir aus. Okay, dann 0 Sollen wir den Chat verlassen? jo Wenn alle einverstanden sind Bis dann Gutes Gelingen noch doch"
4,4,10,0,0,34,True,Ich bin für Risiko immer 0 angeben Cool das ging ja schnell :),"Ich bin für Risiko immer 0 angeben Ich auch Ich auch, gibt im Schnitt am meisten Cool das ging ja schnell :)","Ich bin für Risiko immer 0 angeben Ich auch, gibt im Schnitt am meisten","Ich bin für Risiko immer 0 angeben Ich auch Ich auch, gibt im Schnitt am meisten Cool das ging ja schnell :)"
