participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,nickname,body,timestamp
fls0mfip,3,1,b3apwy1z,3-stage_1-3,Participant 1,hhhh,1572617900.809888
fls0mfip,3,2,lshhw6fv,3-stage_1-3,Participant 2,ggggg,1572617906.445984
88qiv0o5,6,1,xbtnznqk,6-stage_1-6,Participant 1,dddd,1572697396.8560781
88qiv0o5,6,2,sx4bmch8,6-stage_1-6,Participant 2,ffffff,1572697402.7633321
6j779c3m,7,1,houa8gxt,7-stage_1-7,Participant 1,aaaa,1572724143.121086
6j779c3m,7,2,izh5bcta,7-stage_1-7,Participant 2,ssss,1572724148.419199
fb374suf,8,1,tuqhumt0,8-stage_1-8,Participant 1,eee,1572798246.482047
fb374suf,8,2,ih7jcb63,8-stage_1-8,Participant 2,wwww,1572798251.890832
m6jwx2q3,9,1,n7cueyu2,9-stage_1-9,Participant 1,ddd,1572798356.214297
m6jwx2q3,9,2,8qn7armv,9-stage_1-9,Participant 2,fff,1572798362.743754
gbwck7pb,10,1,quwtorcd,10-stage_1-10,Participant 1,ddd,1572798436.229516
gbwck7pb,10,2,cwcj8vsg,10-stage_1-10,Participant 2,ssss,1572798441.129591
jnr7peyf,11,1,lum4awrt,11-stage_1-11,Participant 1,ddd,1572799770.724559
jnr7peyf,11,2,7rznjnj5,11-stage_1-11,Participant 2,sss,1572799775.664938
bien2p8j,12,1,ovpwbwae,12-stage_1-12,Participant 1,dd,1572799965.119501
bien2p8j,12,2,rslvtx2q,12-stage_1-12,Participant 2,fff,1572799970.054493
q7736fbw,14,1,eulv1w4i,14-stage_1-14,Participant 1,d,1572800436.7822988
q7736fbw,14,2,nd050jcx,14-stage_1-14,Participant 2,f,1572800442.13288
xckvqri8,15,1,ialgu62k,15-stage_1-15,Participant 1,sss,1572800637.3283358
xckvqri8,15,2,n88kcnup,15-stage_1-15,Participant 2,fff,1572800642.428576
wfq7rils,16,1,ph9m6cq9,16-stage_1-16,Participant 1,dd,1572800836.464885
wfq7rils,16,2,2ecp1vvw,16-stage_1-16,Participant 2,fff,1572800841.419997
y3rrk2sy,17,1,dva0pic8,17-stage_1-17,Participant 1,dddd,1572800890.296454
keohvhw0,18,1,9gphifyl,18-stage_1-18,Participant 1,eeee,1572801201.943042
keohvhw0,18,2,6ccuk83v,18-stage_1-18,Participant 2,rrrr,1572801207.4629388
idbpf4io,19,1,wvurcymi,19-stage_1-19,Participant 1,fff,1572801319.986665
idbpf4io,19,2,movm7qs3,19-stage_1-19,Participant 2,hello,1572801350.3704362
6k613obj,22,2,fsd6baig,22-stage_1-22,Participant 2,222,1573477380.1235461
whmw7fp9,23,1,59369b9h,23-stage_1-23,Participant 1,ggg,1573477891.423394
dybqs4cs,24,1,p0nkgf5g,24-stage_1-24,Participant 1,s,1573478280.1998541
4soguxlr,25,1,ej9k53v6,25-stage_1-25,Participant 1,w,1573478369.31342
i9n3xot6,27,1,f3j21fww,27-stage_1-27,Participant 1,d,1573479352.89341
i9n3xot6,27,2,h01b65d0,27-stage_1-27,Participant 2,s,1573479355.0458949
i2mxudso,31,1,aqwzyfyd,31-stage_1-31,Participant 1,f,1573480879.484396
an68qlzb,32,1,z4d5kvxe,32-stage_1-32,Participant 1,e,1573480949.397038
g5lchnaq,33,1,xqp6o1y0,33-stage_1-33,Participant 1,d,1573481023.4822998
izc0qdjp,34,1,p6qcuiyq,34-stage_1-34,Participant 1,d,1573481206.747954
p0ie5yap,35,1,dwqqe5o8,35-stage_1-35,Participant 1,d,1573482504.094398
xd750r6x,37,1,0pb19a0h,37-stage_1-37,Participant 1,d,1573484136.164329
cooxfxhd,39,1,uz3u2mio,39-stage_1-39,Participant 1,e,1573485120.1056168
ksxmoxsa,40,1,o2o1tvsu,40-stage_1-40,Participant 1,4,1573485171.827704
fxn8nrfl,41,1,82blfec2,41-stage_1-41,Participant 1,swww,1573499516.332654
732infbf,42,1,qoqukats,42-stage_1-42,Participant 1,aaaa,1573500067.91203
3bcjhc9c,43,1,h8rnwxzt,43-stage_1-43,Participant 1,dddd,1573716404.647329
3bcjhc9c,43,2,l0hv1ur8,43-stage_1-43,Participant 2,ddd,1573716406.931394
3d2warc9,45,1,29vo931f,45-stage_1-45,Participant 1,d,1573716711.9082692
g1yd3ug2,46,1,56a9i455,46-stage_1-46,Participant 1,2,1573717545.220832
6vtf12g3,55,1,l3ni34y4,55-stage_1-55,Participant 1,d,1573759085.1106088
6vtf12g3,55,2,m544dt80,55-stage_1-55,Participant 2,s,1573759087.734484
of4mmwzw,61,2,wclb64k4,61-stage_1-61,Participant 2,222,1573764857.129882
3x2p50yz,62,1,riko890e,62-stage_1-62,Participant 1,w,1574066131.864148
3x2p50yz,62,2,8fy51p7k,62-stage_1-62,Participant 2,w,1574066135.5478961
ern9bcmu,66,2,kc16kjc2,66-stage_1-66,Participant 2,s,1574067298.8825128
jw8b3tqi,70,2,dcdal7cw,70-stage_1-70,Participant 2,w,1574068167.927949
ljrdo84w,73,1,hgmxxyrr,73-stage_1-73,Participant 1,2,1574071061.1486561
me0eylf0,74,1,n4b1srbu,74-stage_1-74,Participant 1,222,1574071598.884615
tncfz854,75,2,awd8s7dw,75-stage_1-75,Participant 2,ww,1574072580.993695
nlq0wi1z,76,1,b672bwwl,76-stage_1-76,Participant 1,ss,1574072624.72732
nlq0wi1z,76,2,htvuj6rh,76-stage_1-76,Participant 2,ss,1574072628.175499
tc8lckbk,79,1,8w1k6xap,79-stage_1-79,Participant 1,e,1574156496.049338
dshp6cio,82,1,kqgcqve6,82-stage_1-82,Participant 1,sdfsdf,1574158378.813594
dshp6cio,82,1,kqgcqve6,82-stage_1-82,Participant 1,sdf,1574158379.8504598
dshp6cio,82,2,gtm4rqr8,82-stage_1-82,Participant 2,dsf,1574158385.984561
ng2ejm8e,87,1,y21ukt0o,87-stage_1-87,Participant 1,sss,1574173378.7737138
ng2ejm8e,87,2,a1httrxi,87-stage_1-87,Participant 2,sss,1574173382.4381151
j13vi7ne,88,2,ga9glm1c,88-stage_1-88,Participant 2,sss,1574173628.2572002
smtwwlyu,89,2,bl12w7x5,89-stage_1-89,Participant 2,ddddd,1574173876.549191
54evm6qo,95,1,o2luqsjo,95-stage_1-95,Gruppenmitglied,sss,1574178594.026356
54evm6qo,95,2,5vwrzhj4,95-stage_1-95,Gruppenmitglied,sss,1574178596.861697
cbckzts4,97,2,rpkx4uby,97-stage_1-97,Participant 2,ddd,1574240594.9726121
cbckzts4,97,1,qp2sg3k3,97-stage_1-97,Participant 1,ddd,1574240597.982945
0hrf26z9,101,1,482eynz9,101-stage_1-101,Participant 1,ddd,1574241839.5791879
0hrf26z9,101,2,ufldmqhy,101-stage_1-101,Participant 2,ssss,1574241842.53852
qah5dl5f,104,1,ch3qgrqc,104-stage_1-104,Participant 1,sss,1574248233.9558558
qah5dl5f,104,2,z9pij1tp,104-stage_1-104,Participant 2,sss,1574248237.267353
zldt4llo,106,2,sk5qgz98,106-stage_1-106,Participant 2,ddd,1574248411.2965062
4llnd57o,114,1,hmkfosq6,114-stage_1-114,Participant 1,ddd,1574251608.244094
4llnd57o,114,2,t02ujfqm,114-stage_1-114,Participant 2,ddd,1574251611.920686
zbgc0zvd,116,1,cooiacrn,116-stage_1-116,Participant 1,sss,1574252048.684169
zbgc0zvd,116,2,cg0ipmeh,116-stage_1-116,Participant 2,ddd,1574252051.56758
neila7uz,117,1,yr9qjiag,117-stage_1-117,Participant 1,ddd,1574252710.9403
y2rfcdhl,118,1,ibjuk22o,118-stage_1-118,Participant 1,aaa,1574324682.076483
hvhq7j00,119,1,oceqbl5w,119-stage_1-119,Participant 1,aaa,1574325784.3367512
9y2t1d0m,123,1,foamy50x,123-stage_1-123,Participant 1,ddddd,1574330485.867264
9y2t1d0m,123,2,d5phstfl,123-stage_1-123,Participant 2,aaa,1574330547.894326
