participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.control_correct,player.hours_stated_player,player.contr_task_0,player.contr_partner_0,player.contr_50noaudit_0,player.contr_50audit_0,player.contr_65noaudit_0,player.contr_35audit_0,player.contr_task,player.contr_partner,player.contr_50noaudit,player.contr_50audit,player.contr_65noaudit,player.contr_35audit,player.payoff,group.id_in_subsession,group.classifier_result,group.random_prob,group.treat,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,xc5093ht,,0,1,6,,,2019-11-01 14:12:46.448887+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,2feczv50,,,,,,1
2,p8240wbc,,0,1,6,,,2019-11-01 14:12:46.449701+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,2feczv50,,,,,,1
1,qckgcfgy,,0,1,6,stage_1,introduction,2019-11-01 14:15:00.861310+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,xtj5h31f,,,,,,1
2,ive22aj6,,0,1,6,stage_1,introduction,2019-11-01 14:15:25.534301+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,xtj5h31f,,,,,,1
1,b3apwy1z,,0,3,6,stage_1,chat_wait,2019-11-01 14:18:13.135107+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,fls0mfip,,,,,,1
2,lshhw6fv,,0,3,6,stage_1,chat_wait,2019-11-01 14:18:13.132956+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,fls0mfip,,,,,,1
1,d9aoe0io,,0,1,4,stage_1,introduction,2019-11-02 11:07:45.301848+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,dk9rjwur,,,,,,1
2,ygta7dea,,0,1,4,stage_1,introduction,2019-11-02 11:07:45.297834+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,dk9rjwur,,,,,,1
1,eq9dqca9,,0,1,4,stage_1,introduction,2019-11-02 12:14:54.092306+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,x8ukrabs,,,,,,1
2,s571tzr3,,0,1,4,stage_1,introduction,2019-11-02 12:14:54.095116+00:00,1,,,0.00,2,,,,,,,,,,,,,,,0.00,1,,,,1,x8ukrabs,,,,,,1
1,xbtnznqk,,0,3,5,stage_1,chat_wait,2019-11-02 12:23:11.849588+00:00,1,,,0.00,1,,,,,,,,,,,,,,,0.00,1,,,,1,88qiv0o5,,,,,,1
