participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.hours_stated_player,player.is_audited,player.prob_to_check,player.fine,player.lab_points,player.points_euro,player.same_hours_player,player.audited_both,player.control_correct,player.belief,player.age,player.gender,player.study,player.study_level,player.econ,player.moral_freude,player.moral_aerger,player.moral_angst,player.moral_scham,player.moral_schuld,player.risk,player.lie,player.complex,player.pol,player.income,player.pray,player.lab_exp,player.exp_demand_q,player.exp_demand_open,player.exp_demand_chat,player.exp_demand_chat_open,player.feedback,player.payoff,group.id_in_subsession,group.classifier_result,group.to_audit,group.same_hours,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,lum4awrt,,0,6,7,stage_2,income_wait,2019-11-03 16:49:25.029113+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,jnr7peyf,,,,,,1
2,7rznjnj5,,0,6,7,stage_2,income_wait,2019-11-03 16:49:25.032692+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,jnr7peyf,,,,,,1
1,ovpwbwae,,0,6,7,stage_2,income_wait,2019-11-03 16:52:40.221398+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,bien2p8j,,,,,,1
2,rslvtx2q,,0,6,7,stage_2,income_wait,2019-11-03 16:52:40.225222+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,bien2p8j,,,,,,1
1,x2z6ytcx,,0,0,7,,,,0,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,dmn8aw32,,,,,,1
2,t8na6ktv,,0,0,7,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,dmn8aw32,,,,,,1
1,eulv1w4i,,0,7,7,stage_2,income_stated,2019-11-03 17:00:30.768549+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,q7736fbw,,,,,,1
2,nd050jcx,,0,7,7,stage_2,income_stated,2019-11-03 17:00:30.774295+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,q7736fbw,,,,,,1
1,ialgu62k,,0,7,7,stage_2,income_stated,2019-11-03 17:03:52.575189+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,xckvqri8,,,,,,1
2,n88kcnup,,0,7,7,stage_2,income_stated,2019-11-03 17:03:52.577470+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,xckvqri8,,,,,,1
1,ph9m6cq9,,0,7,7,stage_2,income_stated,2019-11-03 17:07:11.350766+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,wfq7rils,,,,,,1
2,2ecp1vvw,,0,7,7,stage_2,income_stated,2019-11-03 17:07:11.346858+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,wfq7rils,,,,,,1
1,dva0pic8,,0,7,7,stage_2,income_stated,2019-11-03 17:08:04.329063+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,y3rrk2sy,,,,,,1
2,g4gm9hbl,,0,7,7,stage_2,income_stated,2019-11-03 17:08:04.325837+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,y3rrk2sy,,,,,,1
1,9gphifyl,,0,6,7,stage_2,income_wait,2019-11-03 17:13:16.092709+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,keohvhw0,,,,,,1
2,6ccuk83v,,0,6,7,stage_2,income_wait,2019-11-03 17:13:16.145816+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,keohvhw0,,,,,,1
1,wvurcymi,,0,7,7,stage_2,income_stated,2019-11-03 17:15:15.776365+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,idbpf4io,,,,,,1
2,movm7qs3,,0,7,7,stage_2,income_stated,2019-11-03 17:15:15.773186+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,idbpf4io,,,,,,1
1,dzb1gr50,,0,1,7,stage_1,check_understanding,2019-11-08 13:09:57.011555+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,imtidv8q,,,,,,1
2,9y5cb9vj,,0,1,7,stage_1,check_understanding,2019-11-08 13:09:57.015706+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,imtidv8q,,,,,,1
1,bzuyzgae,,0,1,7,stage_1,check_understanding,2019-11-08 13:17:38.990635+00:00,1,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,zggs50o6,,,,,,1
2,cl695k6e,,0,1,7,stage_1,check_understanding,2019-11-08 13:17:38.993154+00:00,1,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,zggs50o6,,,,,,1
1,ukxs1cb1,,0,7,9,stage_2,income_stated,2019-11-11 13:02:16.585984+00:00,1,,,500.00,1,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,6k613obj,,,,,,1
2,fsd6baig,,0,7,9,stage_2,income_stated,2019-11-11 13:02:16.584219+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,6k613obj,,,,,,1
1,59369b9h,,0,9,8,stage_2,questions_moral,2019-11-11 13:11:27.756487+00:00,1,,,500.00,1,,1,,500,,,,,,,2,1,4,2,,,,,,,1,,,,,,,,,,,,500.00,1,,1,,1,whmw7fp9,,,,,,1
2,fpbouq1i,,0,7,8,stage_2,questions,2019-11-11 13:11:27.754530+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,whmw7fp9,,,,,,1
1,p0nkgf5g,,0,9,9,stage_2,questions_other,2019-11-11 13:17:57.492330+00:00,1,,,500.00,1,,1,,500,,,,,,,2,1,8,1,,,,,,,1,,,,,,,,,,,,500.00,1,,1,,1,dybqs4cs,,,,,,1
2,sdcgdpoj,,0,7,9,stage_2,questions,2019-11-11 13:17:57.488146+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,dybqs4cs,,,,,,1
1,ej9k53v6,,0,9,9,stage_2,questions_other,2019-11-11 13:19:26.826480+00:00,1,,,500.00,1,,1,,500,,,,,,,2,2,7,3,,,,,,,1,,,,,,,,,,,,500.00,1,,1,,1,4soguxlr,,,,,,1
2,huav5tff,,0,7,9,stage_2,questions,2019-11-11 13:19:26.828118+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,4soguxlr,,,,,,1
1,4l8pc04l,,0,8,9,stage_2,questions_moral,2019-11-11 13:29:48.856604+00:00,1,,,500.00,1,,1,,500,,,,,,,2,2,6,3,,,,,,,2,,,,,,,,,,,,500.00,1,,1,,1,0s917a87,,,,,,1
2,ffprnuj7,,0,8,9,stage_2,questions_moral,2019-11-11 13:29:48.854747+00:00,1,,,500.00,2,,1,,500,,,,,,,3,3,2,2,,,,,,,2,,,,,,,,,,,,500.00,1,,1,,1,0s917a87,,,,,,1
1,f3j21fww,,0,8,9,stage_2,questions_moral,2019-11-11 13:35:50.178892+00:00,1,,,500.00,1,,1,,500,,,,,,,2,2,7,1,,,,,,,2,,,,,,,,,,,,500.00,1,,1,,1,i9n3xot6,,,,,,1
2,h01b65d0,,0,7,9,stage_2,questions,2019-11-11 13:35:50.176904+00:00,1,,,500.00,2,,1,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00,1,,1,,1,i9n3xot6,,,,,,1
1,izrqdhjr,,0,0,9,,,,0,,,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,ob07bso0,,,,,,1
2,2tl8g1i5,,0,0,9,,,,0,,,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,1,,1,ob07bso0,,,,,,1
