participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.same_hours_player,player.hours_stated,player.classifier_result_player,player.to_audit_player,player.audited_both,player.fine,player.lab_points,player.points_euro,player.ctr_euro,player.payoff,player.belief,player.age,player.gender,player.study,player.study_level,player.econ,player.moral_freude,player.moral_aerger,player.moral_angst,player.moral_scham,player.moral_schuld,player.risk,player.lie,player.complex,player.pol,player.income,player.pray,player.lab_exp,player.exp_demand_q,player.exp_demand_open,player.exp_demand_chat,player.exp_demand_chat_open,player.feedback,player.payoff,group.id_in_subsession,group.same_hours,group.classifier_result,group.to_audit,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,gjldd13j,,0,17,19,stage_2,payoff_show,2019-12-10 07:16:45.083215+00:00,1,,,10.00,1,1,10,,1,1,0,50,5.00,1.00,0.00,1,1,3,2,2,1,3,4,5,6,6,4,2,5,9,2,1,1,2,,2,,,0.00,1,,1,1,1,l6u16r6c,,,,,,1
2,xvpchzxw,,0,17,19,stage_2,payoff_show,2019-12-10 07:16:53.031705+00:00,1,,,9.00,2,1,10,,1,1,0,50,5.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,,,0.00,1,,1,1,1,l6u16r6c,,,,,,1
3,1tk24thq,,0,17,19,stage_2,payoff_show,2019-12-10 07:16:55.001780+00:00,1,,,7.80,1,1,22,,1,1,12,38,3.80,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,,,0.00,2,,1,1,1,l6u16r6c,,,,,,1
4,20p7gcna,,0,17,19,stage_2,payoff_show,2019-12-10 07:16:57.188178+00:00,1,,,7.80,2,1,22,,1,1,12,38,3.80,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,,,0.00,2,,1,1,1,l6u16r6c,,,,,,1
1,wikyu86s,,0,0,19,,,,0,,,0.00,1,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,,,1,dqwdfa3a,December,,,,no,0
2,vkudt4x4,,0,0,19,,,,0,,,0.00,2,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,,,1,dqwdfa3a,December,,,,no,0
1,0yfh7e4s,,0,0,19,,,,0,,,0.00,1,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,,,1,zd1a5jie,,,,,,1
2,cvqhnchw,,0,0,19,,,,0,,,0.00,2,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,,,,1,zd1a5jie,,,,,,1
3,uk72ksy4,,0,0,19,,,,0,,,0.00,1,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,2,,,,1,zd1a5jie,,,,,,1
4,0lu43zg5,,0,0,19,,,,0,,,0.00,2,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,2,,,,1,zd1a5jie,,,,,,1
